,link,builtup_area,carpet_area,rooms,furnish,address,bathrooms,balcony,facing,gas_pipline,gated_community,swimming_pool,gym,intercom,power_backup,garden,sports,more_amenities,current_floor,total_floor,lease_type,property_age,covered_parking,open_parking,school,university,bus_stop,railway,mall,metro_station,hospital,restaurant,rent
875,https://housing.com/rent/17747859-890-sqft-2-bhk-apartment-on-rent-in-sion-mumbai,890,770,2,Semi Furnished,"Lodha New Cuffe Parade, Sion, Mumbai",1,0,North-West,1,1,1,1,1,0,1,1,50,12,24,Family,2,1,0,1,1,0,0,0,0,1,1,110000
876,https://housing.com/rent/18511615-520-sqft-1-bhk-apartment-on-rent-in-goregaon-west-mumbai,520,500,1,Unfurnished,"Sethia Green View, Belwalkar Wadi, Goregaon West, Mumbai",2,0,South-East,1,1,1,1,1,1,1,1,22,4,9,Family  Bachelor  Company,9,0,0,0,1,0,0,0,1,1,0,40000
877,https://housing.com/rent/18487858-1410-sqft-3-bhk-apartment-on-rent-in-kanjurmarg-east-mumbai,1410,1085,3,Semi Furnished,"Runwal Bliss, Kanjurmarg East, Mumbai",2,1,West,0,1,1,1,1,1,1,1,65,27,50,Family  Bachelor  Company,2,1,0,1,1,0,0,0,0,1,1,85000
878,https://housing.com/rent/18657749-1850-sqft-3-bhk-apartment-on-rent-in-khar-west-mumbai,1850,1400,3,Semi Furnished,"Pallazo Heights, Bandra West, Mumbai",4,4,West,1,0,0,0,1,1,0,0,0,7,10,Family  Company,14,0,2,1,1,0,0,0,0,1,1,275000
879,https://housing.com/rent/18675002-451-sqft-1-bhk-apartment-on-rent-in-chembur-mumbai,451,413,1,Semi Furnished,"Vaibhav Queens Park, Chembur, Mumbai",1,1,,0,1,0,1,1,1,0,0,14,11,17,Family  Bachelor  Company,0,1,1,1,1,0,1,0,0,1,1,49999
880,https://housing.com/rent/18560689-1000-sqft-2-bhk-apartment-on-rent-in-goregaon-west-mumbai,1000,800,2,Unfurnished,"Yashwant Nagar, Goregaon West, Mumbai",2,2,South-East,0,0,0,0,0,0,0,0,0,15,35,Family  Bachelor  Company,1,1,1,0,1,0,1,0,1,1,0,61000
881,https://housing.com/rent/18605655-1000-sqft-2-bhk-apartment-on-rent-in-goregaon-west-mumbai,1000,800,2,Unfurnished,"MIG MHADA TOWER, Prem Nagar, Goregaon West, Mumbai",2,2,East,0,0,0,0,0,0,0,0,0,12,35,Family  Bachelor  Company,1,1,1,0,1,0,1,0,1,1,0,62000
882,https://housing.com/rent/18451154-510-sqft-1-bhk-apartment-on-rent-in-kanjurmarg-east-mumbai,510,450,1,Fully Furnished,"Kanakia Zenworld Phase I, Kanjurmarg East, Mumbai",1,0,West,1,1,1,1,1,1,1,1,48,17,22,Family,5,1,0,1,1,0,0,0,1,1,0,56000
883,https://housing.com/rent/17630446-1175-sqft-3.5-bhk-apartment-on-rent-in-mulund-west-mumbai-v2,1175,1000,3.5,Fully Furnished,"Nirmal Lifestyle One Mumbai, Mulund Colony, Mulund West, Mumbai",3,0,,1,1,1,1,1,0,1,1,22,3,18,Family  Company,20,0,1,1,1,0,0,0,0,1,1,85000
884,https://housing.com/rent/18684619-1055-sqft-3-bhk-apartment-on-rent-in-kandivali-east-mumbai,1055,900,3,Fully Furnished,"Lokhandwala Township, Kandivali East, Mumbai",2,0,,1,1,0,0,1,1,0,1,1,1,7,Family,20,1,0,1,1,0,0,0,1,1,0,70000
885,https://housing.com/rent/18675265-1074-sqft-2-bhk-apartment-on-rent-in-mira-road-east-mumbai,1074,715,2,Fully Furnished,"Addon homes, Gaurav City, Mira Road East, Mira Bhayandar",2,3,North-East,1,1,1,0,1,1,1,1,4,10,10,Family,7,1,0,1,1,0,0,1,1,1,0,35000
886,https://housing.com/rent/18680661-850-sqft-2-bhk-apartment-on-rent-in-goregaon-east-mumbai,850,0,2,Semi Furnished,"Yashodham Complex, Gokuldham, Goregaon East, Mumbai",2,2,West,1,1,0,0,1,1,0,0,0,5,6,Family  Bachelor,32,0,0,1,1,0,0,1,1,1,0,67000
887,https://housing.com/rent/18681258-425-sqft-1-bhk-apartment-on-rent-in-ghatkopar-east-mumbai,425,420,1,Semi Furnished,"Gurukrupa Ugam, Pant Nagar, Ghatkopar East, Mumbai",1,0,,1,1,0,1,1,1,1,1,19,6,16,Family,1,0,0,0,1,0,0,0,1,1,0,42000
888,https://housing.com/rent/18689066-1050-sqft-2-bhk-apartment-on-rent-in-malad-east-mumbai,1050,864,2,Semi Furnished,"Omkar Alta Monte, Kokanipada, Malad East, Mumbai",2,2,East,1,1,1,1,1,1,1,1,43,40,45,Family  Bachelor,5,1,0,0,1,0,0,1,1,1,0,85000
889,https://housing.com/rent/18082072-900-sqft-2-bhk-apartment-on-rent-in-goregaon-west-mumbai,900,600,2,Semi Furnished,"BP DPS Park View, Motilal Nagar III, Goregaon West, Mumbai",2,0,West,0,1,0,1,1,1,1,1,14,8,22,Family  Bachelor  Company,1,1,0,0,1,0,0,0,1,1,0,55000
890,https://housing.com/rent/18459500-800-sqft-2-bhk-apartment-on-rent-in-kandivali-east-mumbai,800,743,2,Semi Furnished,"Lodha Woods by Lodha Group, Lokhandwala Township, Kandivali East, Mumbai",2,0,North-East,1,1,1,1,1,1,1,1,43,15,22,Family  Bachelor,1,1,0,1,1,0,0,0,1,1,0,64000
891,https://housing.com/rent/18552606-1753-sqft-3-bhk-apartment-on-rent-in-lower-parel-mumbai,1753,1098,3,Semi Furnished,"Lodha Park, Lower Parel, Mumbai",3,0,East,1,1,1,1,1,1,1,1,58,55,78,Family  Bachelor  Company,4,2,0,1,1,0,0,0,0,1,1,236139
892,https://housing.com/rent/18542297-1751-sqft-3-bhk-apartment-on-rent-in-lower-parel-mumbai,1751,1096,3,Fully Furnished,"Lodha Park Wing 1 To 5, Lower Parel, Mumbai",3,0,East,1,1,1,1,1,1,1,1,50,68,78,,5,2,0,1,1,0,0,0,0,1,1,234139
893,https://housing.com/rent/18243922-760-sqft-2-bhk-apartment-on-rent-in-goregaon-west-mumbai,760,656,2,Unfurnished,"Oxford Navrang Navkar, Shri Nagar, Goregaon West, Mumbai",2,0,,0,0,1,0,0,0,0,0,9,15,23,Family,1,1,1,0,1,0,0,0,1,1,0,65000
